Question,Answer,Source,Question_Swahili,Answer_Swahili,Question_Sheng,Answer_Sheng,Cleaned_Question,Cleaned_Answer
What happens if I miss a payment?,Simpl may charge a late fee if you miss a scheduled payment. We recommend keeping suï¬ƒcient funds in your account to ensure that payments are processed on time. You will be notiï¬ed of any missed payments via email or SMS.,https://www.myntra.com/faqs,Ni nini kinatokea ikiwa nitakosa malipo?,,Ni nini kinatokea ikiwa nitakosa malipo?,,happens miss payment,simpl may charge late fee miss scheduled payment recommend keeping suï¬ƒcient fund account ensure payment processed time notiï¬ed missed payment via email sm
Can I repay the remaining balance early?,"You canâ€™t repay us back the remaining balance earlier before the due date. However, this would be a possibility in the future and we will be updating it here, once this is enabled.",https://www.myntra.com/faqs,Je! Ninaweza kulipa mizani iliyobaki mapema?,"Huwezi kutulipa tena mizani iliyobaki mapema kabla ya tarehe inayofaa.Walakini, hii itakuwa uwezekano katika siku zijazo na tutakuwa tukisasisha hapa, mara hii itakapowezeshwa.",Je! Ninaweza kulipa mizani iliyobaki mapema?,"Huwezi kutulipa tena mizani iliyobaki mapema kabla ya tarehe inayofaa.Walakini, hii itakuwa uwezekano katika day zijazo na tutakuwa tukisasisha hapa, mara hii itakapowezeshwa.",repay remaining balance early,canâ€™t repay u back remaining balance earlier due date however would possibility future updating enabled
What happens if I cancel my order or return a product?,"If you cancel your order or return a product, the amount you've already paid will be refunded post successful refund initiation by Myntra. The refund will be based on the Last Paid First Refunded principle. This means refunds are processed starting with the most recent payment, and the remaining balance will be refunded to the earlier payment methods. Below are some examples to help explain:
Example Scenarios:
Case #1:
You made a purchase of â‚¹3,000 using Simpl Pay in 3. The ï¬rst payment of â‚¹1,000 was made via UPI, and the second payment of â‚¹1,000 was made using your credit card. If you return items worth â‚¹1,500, the refund is processed as follows:
The ï¬rst â‚¹1,000 will be adjusted in the Simpl ledger, so you will not need to make the third installment.
The remaining â‚¹500 will be refunded to your credit card, as it was the payment method for the second installment.
Case #2:
You purchased items worth â‚¹4,500 with Simpl Pay in 3. The ï¬rst installment of â‚¹1,500 was paid via net banking, and the second installment of â‚¹1,500 was paid on Simpl app using a debit card. You return items worth â‚¹3,000. Here's the refund breakdown:
The ï¬rst â‚¹1,500 will be adjusted in the Simpl ledger, canceling your third installment.
The next â‚¹1,500 will be refunded to your debit card, since that was the payment method for your second installment.
Case #3:
You made a purchase of â‚¹6,000 with Simpl Pay in 3. The ï¬rst installment of â‚¹2,000 was paid via UPI, and the second installment of â‚¹2,000 via a credit card. You return items worth â‚¹5,000. Here's how it works:
The ï¬rst â‚¹2,000 will be adjusted in the Simpl ledger, eliminating the third installment.
The next â‚¹2,000 will be refunded to your credit card (used for the second installment).
The remaining â‚¹1,000 will be refunded to your UPI account (used for the ï¬rst installment).
Case #4:
You made a purchase of â‚¹9,000 using Simpl Pay in 3. The ï¬rst installment of â‚¹3,000 was paid via a debit card, the second installment of â‚¹3,000 via UPI, and the third installment of â‚¹3,000 was paid via net banking. You return items worth â‚¹6,000. The refund is processed as follows:
The ï¬rst â‚¹3,000 will be refunded to your net banking account (the most recent payment).
The next â‚¹3,000 will be refunded to your UPI account (used for the second installment).
Case #4:
You made a purchase of â‚¹12,000 using Simpl Pay in 3. The ï¬rst installment of â‚¹4,000 was paid via UPI, the second installment of â‚¹4,000 was paid via a credit card, and the third installment of â‚¹4,000 was paid via net banking. You return items worth â‚¹9,000 after all three installments are complete. Here's how the refund is handled:
The ï¬rst â‚¹4,000 will be refunded to your net banking account (used for the third installment).
The next â‚¹4,000 will be refunded to your credit card (used for the second installment).
The remaining â‚¹1,000 will be refunded to your UPI account (used for the ï¬rst installment).",https://www.myntra.com/faqs,Ni nini kinatokea ikiwa nitaghairi agizo langu au kurudisha bidhaa?,"Ikiwa utaghairi agizo lako au kurudisha bidhaa, kiasi ambacho umelipa tayari kitarejeshwa kwa malipo ya malipo ya mafanikio ya malipo ya Myntra.Marejesho hayo yatatokana na kanuni ya mwisho iliyolipwa ya kwanza iliyolipwa.Hii inamaanisha kuwa marejesho yanashughulikiwa kuanzia na malipo ya hivi karibuni, na mizani iliyobaki itarejeshwa kwa njia za malipo za mapema.Chini ni mifano kadhaa ya kusaidia kuelezea:
Mfano wa mfano:
Kesi #1:
Ulifanya ununuzi wa â‚¹3,000 kwa kutumia rahisi kwa 3. Malipo ya kwanza ya â‚¹1,000 yalifanywa kupitia UPI, na malipo ya pili ya â‚¹1,000 yalifanywa kwa kutumia kadi yako ya mkopo.Ikiwa unarudisha vitu vyenye thamani ya â‚¹1,500, marejesho yanashughulikiwa kama ifuatavyo:
Ï RST ya kwanza itarekebishwa katika kitabu rahisi, kwa hivyo hautahitaji kufanya awamu ya tatu.
Iliyobaki â‚¹500 itarejeshwa kwa kadi yako ya mkopo, kwani ndio njia ya malipo ya awamu ya pili.
Kesi #2:
Ulinunua vitu vyenye thamani ya â‚¹4,500 na malipo rahisi katika 3. Usanidi wa kwanza wa â‚¹1,500 ulilipwa kupitia benki ya jumla, na usanidi wa pili wa â‚¹1,500 ulilipwa kwenye programu rahisi kwa kutumia kadi ya malipo.Unarudisha vitu vyenye thamani ya â‚¹3,000.Hapa kuna kuvunjika kwa marejesho:
""
Ifuatayo â‚¹1,500 itarejeshwa kwa kadi yako ya malipo, kwani hiyo ilikuwa njia ya malipo kwa awamu yako ya pili.
Kesi #3:
Ulifanya ununuzi wa â‚¹6,000 na malipo rahisi katika 3. Sehemu ya kwanza ya â‚¹2,000 ililipwa kupitia UPI, na usanidi wa pili wa â‚¹2,000 kupitia kadi ya mkopo.Unarudisha vitu vyenye thamani ya â‚¹5,000.Hivi ndivyo inavyofanya kazi:
Ï ï ‚¹2,000 itarekebishwa katika kiboreshaji rahisi, kuondoa awamu ya tatu.
Ifuatayo â‚¹2,000 itarejeshwa kwa kadi yako ya mkopo (inayotumika kwa awamu ya pili).
Iliyobaki â‚¹1,000 itarejeshwa kwa akaunti yako ya UPI (inayotumika kwa awamu ya kwanza).
Kesi #4:
Ulifanya ununuzi wa â‚¹9,000 kwa kutumia rahisi kwa 3. Usanidi wa kwanza wa â‚¹3,000 ulilipwa kupitia kadi ya malipo, usanidi wa pili wa â‚¹3,000 kupitia UPI, na awamu ya tatu ya â‚¹3,000 ililipwa kupitia benki ya jumla.Unarudisha vitu vyenye thamani ya â‚¹6,000.Marejesho yanasindika kama ifuatavyo:
Ï RST â‚¹3,000 itarejeshwa kwa akaunti yako ya benki ya jumla (malipo ya hivi karibuni).
Ifuatayo â‚¹3,000 itarejeshwa kwa akaunti yako ya UPI (inayotumika kwa awamu ya pili).
Kesi #4:
Ulifanya ununuzi wa â‚¹12,000 kwa kutumia rahisi kwa 3. Sehemu ya kwanza ya â‚¹4,000 ililipwa kupitia UPI, awamu ya pili ya â‚¹4,000 ililipwa kupitia kadi ya mkopo, na awamu ya tatu ya â‚¹4,000 ililipwa kupitia benki ya jumla.Unarudisha vitu vyenye thamani ya â‚¹9,000 baada ya awamu zote tatu kukamilika.Hapa kuna jinsi marejesho yanashughulikiwa:
Ï RST â‚¹4,000 itarejeshwa kwa akaunti yako ya benki ya jumla (inayotumika kwa awamu ya tatu).
Ifuatayo â‚¹4,000 itarejeshwa kwa kadi yako ya mkopo (inayotumika kwa awamu ya pili).
Iliyobaki â‚¹1,000 itarejeshwa kwa akaunti yako ya UPI (inayotumika kwa awamu ya kwanza).",Ni nini kinatokea ikiwa nitaghairi agizo langu au kurudisha bidhaa?,"Ikiwa utaghairi agizo lako au kurudisha bidhaa, kiasi ambacho umelipa tayari kitarejeshwa kwa malipo ya malipo ya mafanikio ya malipo ya Myntra.Marejesho hayo yatatokana na kanuni ya mwisho iliyolipwa ya kwanza iliyolipwa.Hii inamaanisha kuwa marejesho yanashughulikiwa kuanzia na malipo ya hivi fitini, na mizani iliyobaki itarejeshwa kwa njia za malipo za mapema.Chini ni mifano kadhaa ya kusaidia kuelezea:
Mfano wa mfano:
Kesi #1:
Ulifanya ununuzi wa â‚¹3,000 kwa kutumia rahisi kwa 3. Malipo ya kwanza ya â‚¹1,000 yalifanywa kupitia UPI, na malipo ya pili ya â‚¹1,000 yalifanywa kwa kutumia kadi yako ya mkopo.Ikiwa unarudisha vitu vyenye thamani ya â‚¹1,500, marejesho yanashughulikiwa kama ifuatavyo:
Ï RST ya kwanza itarekebishwa katika kitabu rahisi, kwa hivyo hautahitaji kufanya awamu ya tatu.
Iliyobaki â‚¹500 itarejeshwa kwa kadi yako ya mkopo, kwani ndio njia ya malipo ya awamu ya pili.
Kesi #2:
Ulinunua vitu vyenye thamani ya â‚¹4,500 na malipo rahisi katika 3. Usanidi wa kwanza wa â‚¹1,500 ulilipwa kupitia benki ya jumla, na usanidi wa pili wa â‚¹1,500 ulilipwa kwenye programu rahisi kwa kutumia kadi ya malipo.Unarudisha vitu vyenye thamani ya â‚¹3,000.Hapa kuna kuvunjika kwa marejesho:
""
Ifuatayo â‚¹1,500 itarejeshwa kwa kadi yako ya malipo, kwani hiyo ilikuwa njia ya malipo kwa awamu yako ya pili.
Kesi #3:
Ulifanya ununuzi wa â‚¹6,000 na malipo rahisi katika 3. Sehemu ya kwanza ya â‚¹2,000 ililipwa kupitia UPI, na usanidi wa pili wa â‚¹2,000 kupitia kadi ya mkopo.Unarudisha vitu vyenye thamani ya â‚¹5,000.Hivi ndivyo inavyofanya kazi:
Ï ï ‚¹2,000 itarekebishwa katika kiboreshaji rahisi, kuondoa awamu ya tatu.
Ifuatayo â‚¹2,000 itarejeshwa kwa kadi yako ya mkopo (inayotumika kwa awamu ya pili).
Iliyobaki â‚¹1,000 itarejeshwa kwa akaunti yako ya UPI (inayotumika kwa awamu ya kwanza).
Kesi #4:
Ulifanya ununuzi wa â‚¹9,000 kwa kutumia rahisi kwa 3. Usanidi wa kwanza wa â‚¹3,000 ulilipwa kupitia kadi ya malipo, usanidi wa pili wa â‚¹3,000 kupitia UPI, na awamu ya tatu ya â‚¹3,000 ililipwa kupitia benki ya jumla.Unarudisha vitu vyenye thamani ya â‚¹6,000.Marejesho yanasindika kama ifuatavyo:
Ï RST â‚¹3,000 itarejeshwa kwa akaunti yako ya benki ya jumla (malipo ya hivi fitini).
Ifuatayo â‚¹3,000 itarejeshwa kwa akaunti yako ya UPI (inayotumika kwa awamu ya pili).
Kesi #4:
Ulifanya ununuzi wa â‚¹12,000 kwa kutumia rahisi kwa 3. Sehemu ya kwanza ya â‚¹4,000 ililipwa kupitia UPI, awamu ya pili ya â‚¹4,000 ililipwa kupitia kadi ya mkopo, na awamu ya tatu ya â‚¹4,000 ililipwa kupitia benki ya jumla.Unarudisha vitu vyenye thamani ya â‚¹9,000 baada ya awamu zote tatu kukamilika.Hapa kuna jinsi marejesho yanashughulikiwa:
Ï RST â‚¹4,000 itarejeshwa kwa akaunti yako ya benki ya jumla (inayotumika kwa awamu ya tatu).
Ifuatayo â‚¹4,000 itarejeshwa kwa kadi yako ya mkopo (inayotumika kwa awamu ya pili).
Iliyobaki â‚¹1,000 itarejeshwa kwa akaunti yako ya UPI (inayotumika kwa awamu ya kwanza).",happens cancel order return product,cancel order return product amount youve already paid refunded post successful refund initiation myntra refund based last paid first refunded principle mean refund processed starting recent payment remaining balance refunded earlier payment method example help explain example scenario case 1 made purchase â‚¹3000 using simpl pay 3 ï¬rst payment â‚¹1000 made via upi second payment â‚¹1000 made using credit card return item worth â‚¹1500 refund processed follows ï¬rst â‚¹1000 adjusted simpl ledger need make third installment remaining â‚¹500 refunded credit card payment method second installment case 2 purchased item worth â‚¹4500 simpl pay 3 ï¬rst installment â‚¹1500 paid via net banking second installment â‚¹1500 paid simpl app using debit card return item worth â‚¹3000 here refund breakdown ï¬rst â‚¹1500 adjusted simpl ledger canceling third installment next â‚¹1500 refunded debit card since payment method second installment case 3 made purchase â‚¹6000 simpl pay 3 ï¬rst installment â‚¹2000 paid via upi second installment â‚¹2000 via credit card return item worth â‚¹5000 here work ï¬rst â‚¹2000 adjusted simpl ledger eliminating third installment next â‚¹2000 refunded credit card used second installment remaining â‚¹1000 refunded upi account used ï¬rst installment case 4 made purchase â‚¹9000 using simpl pay 3 ï¬rst installment â‚¹3000 paid via debit card second installment â‚¹3000 via upi third installment â‚¹3000 paid via net banking return item worth â‚¹6000 refund processed follows ï¬rst â‚¹3000 refunded net banking account recent payment next â‚¹3000 refunded upi account used second installment case 4 made purchase â‚¹12000 using simpl pay 3 ï¬rst installment â‚¹4000 paid via upi second installment â‚¹4000 paid via credit card third installment â‚¹4000 paid via net banking return item worth â‚¹9000 three installment complete here refund handled ï¬rst â‚¹4000 refunded net banking account used third installment next â‚¹4000 refunded credit card used second installment remaining â‚¹1000 refunded upi account used ï¬rst installment
How will I know when my payments are due?,Simpl will send you reminders via SMS or email or app notiï¬cations before each payment is due. You can also track your payment schedule through your Simpl account.,https://www.myntra.com/faqs,Je! Nitajuaje malipo yangu yanapostahili?,Rahisi itakutumia ukumbusho kupitia SMS au barua pepe au programu za notive kabla ya kila malipo.Unaweza pia kufuatilia ratiba yako ya malipo kupitia akaunti yako rahisi.,Je! Nitajuaje malipo yangu yanapostahili?,Rahisi itakutumia ukumbusho kupitia SMS au barua pepe au programu za notive kabla ya kila malipo.Unaweza pia kufuatilia ratiba yako ya malipo kupitia akaunti yako rahisi.,know payment due,simpl send reminder via sm email app notiï¬cations payment due also track payment schedule simpl account
What is the minimum and maximum order value to use Simpl Pay in 3?,The availability of Pay in 3 may depend on the order value. You'll see the option during checkout if your order qualiï¬es.,https://www.myntra.com/faqs,Je! Ni nini kiwango cha chini na cha juu cha kuagiza kutumia malipo rahisi katika 3?,Kupatikana kwa malipo katika 3 kunaweza kutegemea thamani ya agizo.Utaona chaguo wakati wa Checkout ikiwa agizo lako qualiï¬ es.,Je! Ni nini kiwango cha chini na cha juu cha kuagiza kutumia malipo rahisi katika 3?,Kupatikana kwa malipo katika 3 kunaeza kutegemea thamani ya agizo.Utaona chaguo wakati wa Checkout ikiwa agizo lako qualiï¬ es.,minimum maximum order value use simpl pay 3,availability pay 3 may depend order value youll see option checkout order qualiï¬es
Can I use Simpl Pay in 3 for all items on Myntra?,"Simpl Pay in 3 is available for most products, but some restricted items may not be eligible for this payment method. Youâ€™ll be notiï¬ed at checkout if any item in your cart is not eligible.",https://www.myntra.com/faqs,Je! Ninaweza kutumia rahisi kulipa kwa 3 kwa vitu vyote kwenye myntra?,"Malipo rahisi katika 3 yanapatikana kwa bidhaa nyingi, lakini vitu vingine vilivyozuiliwa vinaweza kuwa visivyostahili kwa njia hii ya malipo.Utapewa alama wakati wa Checkout ikiwa kitu chochote kwenye gari lako hakistahiki.",Je! Ninaweza kutumia rahisi kulipa kwa 3 kwa vitu vyote kwenye myntra?,"Malipo rahisi katika 3 yanapatikana kwa bidhaa nyingi, lakini vitu vingine vilivyozuiliwa vinaweza kuwa visivyostahili kwa njia hii ya malipo.Utapewa alama wakati wa Checkout ikiwa kitu chochote kwenye gari lako hakistahiki.",use simpl pay 3 item myntra,simpl pay 3 available product restricted item may eligible payment method youâ€™ll notiï¬ed checkout item cart eligible
How do I contact Simpl for any issues with Pay in 3?,"For any questions or concerns regarding Simpl Pay in 3, you can reach Simplâ€™s customer support via their website or app.",https://www.myntra.com/faqs,Je! Ninawasilianaje na SIMPL kwa maswala yoyote na malipo katika 3?,"Kwa maswali yoyote au wasiwasi kuhusu malipo rahisi katika 3, unaweza kufikia msaada wa wateja rahisi kupitia wavuti yao au programu.",Je! Ninawasilianaje na SIMPL kwa maswala yoyote na malipo katika 3?,"Kwa maswali yoyote au wasiwasi kuhusu malipo rahisi katika 3, unaeza kufikia mtimeda wa wateja rahisi kupitia wavuti yao au programu.",contact simpl issue pay 3,question concern regarding simpl pay 3 reach simplâ€™s customer support via website app
How does the payment cycle for Simpl Pay in 3 work?,"The payment cycle depends on the date of your purchase:
If your purchase is made between the 1st and 20th of the month:
The ï¬rst installment is paid at the time of purchase. The second installment will be due by the 3rd of the following month, and the third installment will be due by the 3rd of the month after that.
If your purchase is made between the 21st and the end of the month (30th/31st):
The ï¬rst installment is paid at the time of purchase. The second installment will be due by the 3rd of the month after the next, and the third installment will be due by the 3rd of the subsequent month.
Example
If you make a purchase on August 18th, your payment schedule will look like this: + First installment: August 18th (day of purchase) + Second installment: Due by September 3rd + Third installment: Due by October 3rd
If you make a purchase on August 25th, your payment schedule will be:
First installment: August 25th (day of purchase)
Second installment: Due by October 3rd
Third installment: Due by November 3rd",https://www.myntra.com/faqs,Je! Mzunguko wa malipo kwa rahisi hulipa katika kazi 3?,"The payment cycle depends on the date of your purchase:
If your purchase is made between the 1st and 20th of the month:
The ï¬rst installment is paid at the time of purchase.The second installment will be due by the 3rd of the following month, and the third installment will be due by the 3rd of the month after that.
If your purchase is made between the 21st and the end of the month (30th/31st):
The ï¬rst installment is paid at the time of purchase.Awamu ya pili itatokana na 3 ya mwezi baada ya ijayo, na awamu ya tatu itatokana na 3 ya mwezi uliofuata.
Example
Ukifanya ununuzi mnamo Agosti 18, ratiba yako ya malipo itaonekana kama hii: + Awamu ya Kwanza: Agosti 18 (Siku ya Ununuzi) + Awamu ya Pili: Inastahili mnamo Septemba 3 + Awamu ya Tatu: Inastahili Oktoba 3
If you make a purchase on August 25th, your payment schedule will be:
First installment: August 25th (day of purchase)
Second installment: Due by October 3rd
Third installment: Due by November 3rd",Je! Mzunguko wa malipo kwa rahisi hulipa katika kazi 3?,"The payment cycle depends on the date of your purchase:
If your purchase is made between the 1st and 20th of the month:
The ï¬rst installment is paid at the time of purchase.The second installment will be due by the 3rd of the following month, and the third installment will be due by the 3rd of the month after that.
If your purchase is made between the 21st and the end of the month (30th/31st):
The ï¬rst installment is paid at the time of purchase.Awamu ya pili itatokana na 3 ya mwezi baada ya ijayo, na awamu ya tatu itatokana na 3 ya mwezi uliofuata.
Example
Ukifanya ununuzi mnamo Agosti 18, ratiba yako ya malipo itaonekana kama hii: + Awamu ya Kwanza: Agosti 18 (Siku ya Ununuzi) + Awamu ya Pili: Inastahili mnamo Septemba 3 + Awamu ya Tatu: Inastahili Oktoba 3
If you make a purchase on August 25th, your payment schedule will be:
First installment: August 25th (day of purchase)
Second installment: Due by October 3rd
Third installment: Due by November 3rd",payment cycle simpl pay 3 work,payment cycle depends date purchase purchase made 1st 20th month ï¬rst installment paid time purchase second installment due 3rd following month third installment due 3rd month purchase made 21st end month 30th31st ï¬rst installment paid time purchase second installment due 3rd month next third installment due 3rd subsequent month example make purchase august 18th payment schedule look like first installment august 18th day purchase second installment due september 3rd third installment due october 3rd make purchase august 25th payment schedule first installment august 25th day purchase second installment due october 3rd third installment due november 3rd
What payment methods are accepted for Simpl Pay in 3?,"We currently accept UPI, credit cards, and net banking for making installment payments. However, as of 1st August 2024, American Express, Diners Club, prepaid cards, and corporate cards are not supported. This list may be updated as we expand support for more card types in the future.",https://www.myntra.com/faqs,Je! Ni njia gani za malipo zinakubaliwa kwa malipo rahisi katika 3?,"Hivi sasa tunakubali UPI, kadi za mkopo, na benki ya jumla kwa kufanya malipo ya malipo.Walakini, hadi 1 Agosti 2024, American Express, Club ya Diners, kadi za kulipia kabla, na kadi za ushirika hazihimiliwi.Orodha hii inaweza kusasishwa tunapopanua msaada kwa aina zaidi za kadi katika siku zijazo.",Je! Ni njia gani za malipo zinakubaliwa kwa malipo rahisi katika 3?,"Hivi sasa tunakubali UPI, kadi za mkopo, na benki ya jumla kwa kufanya malipo ya malipo.Walakini, hadi 1 Agosti 2024, American Express, Club ya Diners, kadi za kulipia kabla, na kadi za ushirika hazihimiliwi.Orodha hii inaweza kusasishwa tunapopanua mtimeda kwa aina zaidi za kadi katika day zijazo.",payment method accepted simpl pay 3,currently accept upi credit card net banking making installment payment however 1st august 2024 american express diner club prepaid card corporate card supported list may updated expand support card type future
My money got debited but the order was not placed. What should I do?,"If your payment was deducted but the order was not placed, the amount will automatically be refunded to your account. Typically, this process takes 3 to 7 working days. If the refund doesnâ€™t reï¬‚ect after this time, please contact Simpl customer support.",https://www.myntra.com/faqs,Pesa yangu ilijadiliwa lakini agizo halikuwekwa.Nifanye Nini?,"Ikiwa malipo yako yalitolewa lakini agizo halikuwekwa, kiasi hicho kitarejeshwa kiatomati kwa akaunti yako.Kawaida, mchakato huu unachukua siku 3 hadi 7 za kufanya kazi.Ikiwa refund haifanyi kazi baada ya wakati huu, tafadhali wasiliana na Msaada wa Wateja Simpl.",Pesa yangu ilijadiliwa lakini agizo halikuwekwa.Nifanye Nini?,"Ikiwa malipo yako yalitolewa lakini agizo halikuwekwa, kiasi hicho kitarejeshwa kiatomati kwa akaunti yako.Kawaida, mchakato huu unachukua day 3 hadi 7 za kufanya kazi.Ikiwa refund haifanyi kazi baada ya wakati huu, tafadhali wasiliana na Mtimeda wa Wateja Simpl.",money got debited order placed,payment deducted order placed amount automatically refunded account typically process take 3 7 working day refund doesnâ€™t reï¬‚ect time please contact simpl customer support
In how many days will the refund be credited to my account?,Refunds are generally processed within 3 to 7 working days after they are initiated. The exact time depends on your bank or payment provider.,https://www.myntra.com/faqs,Je! Marejesho hayo yatapewa sifa kwa akaunti yangu kwa siku ngapi?,Marejesho kwa ujumla husindika ndani ya siku 3 hadi 7 za kazi baada ya kuanzishwa.Wakati halisi unategemea benki yako au mtoaji wa malipo.,Je! Marejesho hayo yatapewa sifa kwa akaunti yangu kwa day ngapi?,Marejesho kwa ujumla husindika ndani ya day 3 hadi 7 za kazi baada ya kuanzishwa.Wakati halisi unategemea benki yako au mtoaji wa malipo.,many day refund credited account,refund generally processed within 3 7 working day initiated exact time depends bank payment provider
"It's been over 10 days since my refund was initiated, but I havenâ€™t received the money back. What should I do?","If more than 10 days have passed and you still havenâ€™t received your refund, please contact Simpl customer support. We will help track your refund and resolve the issue.",https://www.myntra.com/faqs,"Imekuwa zaidi ya siku 10 tangu kurudishiwa pesa yangu, lakini sijapokea pesa hizo.Nifanye Nini?","Ikiwa zaidi ya siku 10 zimepita na bado haujapokea fidia yako, tafadhali wasiliana na Msaada wa Wateja Simpl.Tutasaidia kufuatilia marejesho yako na kutatua suala hilo.","Imekuwa zaidi ya day 10 tangu kurudishiwa doe yangu, lakini sijapokea doe hizo.Nifanye Nini?","Ikiwa zaidi ya day 10 zimepita na bado haujapokea fidia yako, tafadhali wasiliana na Mtimeda wa Wateja Simpl.Tutasaidia kufuatilia marejesho yako na kutatua suala hilo.",10 day since refund initiated havenâ€™t received money back,10 day passed still havenâ€™t received refund please contact simpl customer support help track refund resolve issue
I didnâ€™t get the cashback that was promised at the time of placing my order. What should I do?,"Cashback is typically credited after the completion of the ï¬rst payment for Pay in 3 and should reï¬‚ect as a deduction in the amount due for your second installment. If you havenâ€™t received your cashback, please review the offer terms to ensure eligibility. If the issue persists, contact Simpl customer support for further assistance.",https://www.myntra.com/faqs,Sikuweza kupata pesa taslimu ambayo iliahidiwa wakati wa kuweka agizo langu.Nifanye Nini?,"Cashback kawaida huhesabiwa baada ya kukamilika kwa malipo ya kwanza ya malipo katika 3 na inapaswa kufafanua kama kupunguzwa kwa kiasi kinachostahili awamu yako ya pili.Ikiwa haujapokea pesa zako, tafadhali kagua masharti ya kutoa ili kuhakikisha kustahiki.Ikiwa suala linaendelea, wasiliana na msaada wa wateja rahisi kwa msaada zaidi.",Sikuweza kupata doe taslimu ambayo iliahidiwa wakati wa kuweka agizo langu.Nifanye Nini?,"Cashback kawaida huhesabiwa baada ya kukamilika kwa malipo ya kwanza ya malipo katika 3 na inapaswa kufafanua kama kupunguzwa kwa kiasi kinachostahili awamu yako ya pili.Ikiwa haujapokea doe zako, tafadhali kagua masharti ya kutoa ili kuhakikisha kustahiki.Ikiwa suala linaendelea, wasiliana na mtimeda wa wateja rahisi kwa mtimeda zaidi.",didnâ€™t get cashback promised time placing order,cashback typically credited completion ï¬rst payment pay 3 reï¬‚ect deduction amount due second installment havenâ€™t received cashback please review offer term ensure eligibility issue persists contact simpl customer support assistance
"I have an available Simpl limit, but I am unable to transact via Simpl Pay in 3. Why?","If you have an available Simpl limit but canâ€™t use Simpl Pay in 3, this could be due to eligibility criteria for that speciï¬c transaction. Please ensure that your Simpl account is active and you donâ€™t have any outstanding bills. For further issues, contact Simpl customer support.",https://www.myntra.com/faqs,"Nina kikomo rahisi, lakini siwezi kupitisha kupitia malipo rahisi katika 3. Kwanini?","Ikiwa una kikomo rahisi lakini kinaweza kutumia malipo rahisi katika 3, hii inaweza kuwa ni kwa sababu ya vigezo vya kustahiki kwa shughuli hiyo maalum.Tafadhali hakikisha kuwa akaunti yako rahisi inafanya kazi na hauna bili yoyote bora.Kwa maswala zaidi, wasiliana na msaada wa wateja rahisi.","Nina kikomo rahisi, lakini siwezi kupitisha kupitia malipo rahisi katika 3. Kwanini?","Ikiwa una kikomo rahisi lakini kinaweza kutumia malipo rahisi katika 3, hii inaweza kuwa ni kwa sababu ya vigezo vya kustahiki kwa shughuli hiyo maalum.Tafadhali hakikisha kuwa akaunti yako rahisi inafanya kazi na hauna bili yoyote bora.Kwa maswala zaidi, wasiliana na mtimeda wa wateja rahisi.",available simpl limit unable transact via simpl pay 3,available simpl limit canâ€™t use simpl pay 3 could due eligibility criterion speciï¬c transaction please ensure simpl account active donâ€™t outstanding bill issue contact simpl customer support
"I received â‚¹xx cashback, but I am unable to see it in my Simpl account or use it via Simpl Pay Later.","Cashback for Pay in 3 is typically credited after your ï¬rst payment and is automatically applied as a deduction to your second installment. If you are unable to see the cashback or if it hasn't been applied, ï¬rst review the offer terms to ensure you meet the eligibility criteria. If the issue continues, contact Simpl customer support for help. Please note that cashback cannot be used for Simpl Pay Later transactions; it is only applied as a deduction toward your second installment for Pay in 3.",https://www.myntra.com/faqs,"Nilipokea pesa taslimu, lakini siwezi kuiona kwenye akaunti yangu rahisi au kuitumia kupitia malipo rahisi baadaye.","Cashback ya malipo katika 3 kawaida huhesabiwa baada ya malipo yako ya kwanza na inatumika kiatomati kama punguzo kwa awamu yako ya pili.Ikiwa huwezi kuona kurudishiwa pesa au ikiwa haijatumika, hakiki hakiki masharti ya kutoa ili kuhakikisha unakidhi vigezo vya kustahiki.Ikiwa suala linaendelea, wasiliana na msaada wa wateja rahisi kwa msaada.Tafadhali kumbuka kuwa kurudishiwa pesa hakuwezi kutumiwa kwa shughuli rahisi za kulipia baadaye;Inatumika tu kama punguzo kuelekea awamu yako ya pili kwa malipo katika 3.","Nilipokea doe taslimu, lakini siwezi kuiona kwenye akaunti yangu rahisi au kuitumia kupitia malipo rahisi baadaye.","Cashback ya malipo katika 3 kawaida huhesabiwa baada ya malipo yako ya kwanza na inatumika kiatomati kama punguzo kwa awamu yako ya pili.Ikiwa huwezi kuona kurudishiwa doe au ikiwa haijatumika, hakiki hakiki masharti ya kutoa ili kuhakikisha unakidhi vigezo vya kustahiki.Ikiwa suala linaendelea, wasiliana na mtimeda wa wateja rahisi kwa mtimeda.Tafadhali kumbuka kuwa kurudishiwa doe hakuwezi kutumiwa kwa shughuli rahisi za kulipia baadaye;Inatumika tu kama punguzo kuelekea awamu yako ya pili kwa malipo katika 3.",received â‚¹xx cashback unable see simpl account use via simpl pay later,cashback pay 3 typically credited ï¬rst payment automatically applied deduction second installment unable see cashback hasnt applied ï¬rst review offer term ensure meet eligibility criterion issue continues contact simpl customer support help please note cashback used simpl pay later transaction applied deduction toward second installment pay 3
